Key,Value
Residence Home,221090
Parking Garage/Lot,28516
Abandoned Condemned/Structure,286
Air/Bus/Train Terminal,1235
Amusement Park,103
Arena/Stadium/Fairgrounds,194
ATM Separate From Bank,94
Auto Dealership,189
Bank,2819
Bar/Nightclub,6107
Campground,406
Church/Synagogue/Temple/Mosque,690
Commercial/Office Building,4097
Community Center,250
Construction Site,340
Cyberspace,0
Daycare Facility,245
Department/Discount Store,7678
Dock/Wharf/Shipping Terminal,64
Drug Store/Doctors Office/Hospital,4023
Farm Facility,87
Field/Woods,3878
Gambling Facility/Casino/Race Track,308
Government/Public Building,1860
Grocery Store,4240
Highway/Alley/Street/Sidewalk,85815
Hotel/Motel,8121
Industrial Site,187
Jail/Prison/Corrections Facility,3249
Lake/Waterway/Beach,452
Liquor Store,1052
Military Base,16
Unknown,14531
Park/Playground,4763
Rental Storage Facility,333
Rest Area,141
Restaurant,8288
School/College,1181
School College/University,989
School Elementary/Secondary,4240
Gas Station,6427
Mission/Homeless Shelter,333
Shopping Mall,760
Specialty Store,4450
Tribal Lands,17
Convenience Store,12978
