Key,Value
Identity Theft,77
Fondling,696
Bribery,696
Stolen Property Offenses,907
Pocket-Picking,56
Murder and Nonnegligent Manslaughter,710
Welfare Fraud,4
Extortion/Blackmail,84
Theft from Coin-operated Machine or Device,3
Statutory Rape,37
Intimidation,1814
Gambling Equipment Violation,0
Shoplifting,941
Robbery,1357
Incest,17
Animal Cruelty,94
Destruction/Damage/Vandalism of Property,18507
Operating/Promoting/Assisting Gambling,4
Hacking/Computer Invasion,2
Sports Tampering,0
Kidnapping/Abduction,6414
Motor Vehicle Theft,1382
embezzlement,14
Impersonation,209
Weapon Law Violations,13870
Negligent Manslaughter,16
Wire Fraud,2
Theft From Building,791
Theft of Motor Vehicle Parts or Accessories,62
False Pretenses/Swindle/Confidence game,326
Drug Equipment Violations,2558
Sexual Assault with an Object,465
Counterfeiting/Forgery,224
Purse-snatching,57
Prostitution,66
Credit Card/Automated Teller Machine Fraud,158
Pornography/Obscene Material,356
"Human Trafficking, Commercial Sex Acts",79
Betting/Wagering,1
"Human Trafficking, Involuntary Servitude",9
Purchasing Prostitution,10
Theft from Motor Vehicle,608
Drug/Narcotic Violations,6110
Aggravated Assault,1606
Simple Assault,10218
Assisting or Promoting Prostitution,53
Burglary/Breaking & Entering,5399
Arson,363
All Other Larceny,2525
Sodomy,1147
