Region,Month of Period End,Property Type,Region Type,Seasonally Adjusted,State Code,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,New Listings,New Listings Mom,New Listings Yoy
"Washington, DC metro area",December 2017,All Residential,Metro,False,DC,0.989314566,0.0%,0.2%,5472,-1.2%,-2.2%,11399,-16.0%,-9.0%,39,7,-4,$385K,0.0%,3.5%,3401,-32.0%,-10.6%
"Washington, DC metro area",January 2020,All Residential,Metro,False,DC,0.989379772,-0.3%,0.1%,4067,-27.3%,-0.2%,9691,0.7%,-11.2%,52,11,-8,$400K,-4.8%,3.9%,5331,76.8%,8.3%
"Chicago, IL metro area",January 2017,All Residential,Metro,False,IL,0.963868774,-0.2%,0.1%,5569,-22.1%,1.7%,24160,-0.4%,-10.9%,62,8,-4,$209K,-3.2%,10.0%,8523,84.3%,3.6%
"Chicago, IL metro area",December 2018,All Residential,Metro,False,IL,0.966889232,-0.2%,-0.3%,6145,-13.8%,-14.5%,23570,-14.3%,6.6%,54,7,5,$229K,-2.6%,0.9%,4229,-33.7%,-6.9%
"Chicago, IL metro area",October 2019,All Residential,Metro,False,IL,0.970217999,-0.2%,-0.1%,7866,2.1%,-1.6%,31742,-4.7%,3.2%,48,7,7,$241K,-1.6%,3.7%,9260,-9.7%,-3.0%
"Boston, MA metro area",March 2016,All Residential,Metro,False,MA,0.988422424,0.8%,0.4%,3178,34.9%,22.6%,9018,18.4%,-0.7%,30,-16,-69,$390K,3.6%,4.0%,7030,76.2%,28.0%
"Boston, MA metro area",December 2016,All Residential,Metro,False,MA,0.989166206,-0.5%,0.5%,4317,-0.7%,-3.3%,6351,-22.1%,-20.6%,23,5,-5,$420K,-1.6%,5.0%,1826,-43.8%,-12.7%
"Philadelphia, PA metro area",April 2014,All Residential,Metro,False,PA,0.944305065,0.4%,-0.3%,1618,16.6%,-6.6%,10647,4.8%,-2.4%,62,-20,7,$150K,0.0%,2.7%,3666,14.0%,9.0%
"Philadelphia, PA metro area",October 2014,All Residential,Metro,False,PA,0.945624795,-0.1%,0.3%,1822,4.2%,11.3%,12002,-1.4%,7.0%,59,5,2,$150K,0.0%,0.1%,2740,-4.9%,6.3%
"Philadelphia, PA metro area",November 2015,All Residential,Metro,False,PA,0.948989554,-0.1%,0.2%,1585,-21.6%,3.5%,10656,-3.9%,-7.0%,55,-4,1,$152K,-7.8%,0.0%,2263,-14.0%,18.3%
"Philadelphia, PA metro area",August 2016,All Residential,Metro,False,PA,0.965998012,0.2%,0.8%,2460,3.3%,17.8%,9403,-6.5%,-16.9%,44,8,-7,$181K,-1.0%,4.6%,2686,3.3%,-0.2%
