City,Year,Population,Violent Crime,Property Crime,Total Crime,"Total Crime Per Capita [10,000]","Violent Crime Per Capita [10,000]","Property Crime Per Capita [10,000]",Median Sale Price,DOM,Homes Sold
Baytown,2012,74420.0,247.0,3684.0,3931.0,528.2182209083578,33.190002687449606,495.0282182209083,116000.0,75.5,885
Friendswood,2012,36965.0,15.0,353.0,368.0,99.55363181387798,4.057892601109159,95.49573921276884,184916.66666666666,80.58333333333333,770
Galveston,2012,49170.0,296.0,2469.0,2765.0,562.3347569656295,60.199308521456175,502.1354484441733,152083.33333333334,84.33333333333333,854
Houston,2012,2177273.0,21610.0,107678.0,129288.0,593.8070237402477,99.25259717086463,494.5544265693829,150916.66666666666,56.25,26981
La Porte,2012,35054.0,61.0,604.0,665.0,189.70730872368347,17.401723055856678,172.30558566782682,103416.66666666667,67.66666666666667,356
League City,2012,86127.0,79.0,1734.0,1813.0,210.5030942677673,9.172501073995381,201.33059319377202,183000.0,75.08333333333333,1628
Missouri City,2012,70819.0,86.0,879.0,965.0,136.2628673096203,12.143633770598287,124.119233539022,180583.33333333334,69.41666666666667,1391
Pasadena,2012,154562.0,622.0,5610.0,6232.0,403.20389228917844,40.24275048200722,362.96114180717126,100583.33333333333,69.08333333333333,819
Sugar Land,2012,82924.0,109.0,1541.0,1650.0,198.97737687521104,13.144566108726062,185.8328107664849,238583.33333333334,54.416666666666664,2017
Texas City,2012,46448.0,148.0,1700.0,1848.0,397.86427833275917,31.863589390285917,366.0006889424733,76250.0,76.08333333333333,341
Baytown,2013,73709.0,285.0,3653.0,3938.0,534.263115766053,38.66556322837103,495.597552537682,123000.0,76.0,918
Friendswood,2013,37226.0,11.0,418.0,429.0,115.24203513673241,2.954923977864933,112.28711115886743,195166.66666666666,49.916666666666664,860
Galveston,2013,48067.0,236.0,2335.0,2571.0,534.8783989015333,49.098133854827644,485.7802650467057,170000.0,87.0,997
Houston,2013,2180606.0,20993.0,110919.0,131912.0,604.932757224368,96.27140345390228,508.6613537704657,170166.66666666666,32.666666666666664,30826
La Porte,2013,34671.0,40.0,593.0,633.0,182.5733321796314,11.53701941103516,171.03631276859622,122250.0,47.0,407
League City,2013,89596.0,96.0,1918.0,2014.0,224.7868208402161,10.714764051966606,214.07205678824943,190666.66666666666,45.916666666666664,1976
Missouri City,2013,69487.0,72.0,1151.0,1223.0,176.00414466015224,10.36165038064674,165.64249427950554,200333.33333333334,50.083333333333336,1696
Pasadena,2013,153195.0,592.0,5501.0,6093.0,397.72838539116816,38.643558862887176,359.08482652828104,111500.0,59.333333333333336,955
Sugar Land,2013,83460.0,108.0,1613.0,1721.0,206.20656601965013,12.940330697340045,193.2662353223101,270583.3333333333,31.0,2420
Texas City,2013,45793.0,126.0,1745.0,1871.0,408.5777302207761,27.51512239861988,381.0626078221562,86333.33333333333,77.83333333333333,378
Baytown,2014,76253.0,241.0,3157.0,3398.0,445.62181160085504,31.605313889289604,414.0164977115655,138333.33333333334,46.25,1092
Friendswood,2014,38012.0,21.0,329.0,350.0,92.07618646743134,5.524571188045879,86.55161527938543,214250.0,27.75,840
