City,Year,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Abernathy,2012,"2,877",3,1,1,0,1,31,14,15,2,0
Abilene,2012,"119,886",472,3,38,127,304,"4,393","1,037","3,185",171,18
Alamo,2012,"19,178",182,0,11,10,161,"1,492",264,"1,147",81,1
Alamo Heights,2012,"7,305",14,0,6,4,4,240,34,198,8,0
Alice,2012,"19,627",172,10,8,6,148,"1,216",278,884,54,13
Allen,2012,"88,783",55,0,11,13,31,"1,432",215,"1,173",44,0
Alpine,2012,"6,091",7,0,1,0,6,74,18,49,7,1
Alton,2012,"14,178",9,0,3,4,2,335,85,222,28,1
Alvarado,2012,"3,888",24,0,1,7,16,136,39,89,8,0
Alvin,2012,"25,145",62,0,11,13,38,675,149,502,24,2
Amarillo,2012,"196,576","1,278",10,110,278,880,"8,900","2,087","6,184",629,54
Andrews,2012,"11,751",89,0,18,0,71,261,50,199,12,0
Angleton,2012,"19,569",59,2,9,1,47,601,101,487,13,7
Anna,2012,"8,724",7,0,0,2,5,133,41,86,6,1
Anson,2012,"2,458",3,0,0,0,3,41,9,32,0,0
Anthony,2012,"5,166",9,0,0,4,5,181,16,153,12,1
Aransas Pass1,2012,"8,325",48,2,7,4,35,,,371,18,2
Archer City,2012,"1,819",3,0,0,0,3,9,4,5,0,0
Arcola,2012,"1,724",4,0,1,2,1,30,10,17,3,0
Argyle,2012,"3,454",2,0,2,0,0,32,9,23,0,0
Arlington,2012,"379,295","1,909",17,135,532,"1,225","15,109","3,543","10,616",950,51
Arp,2012,"1,003",0,0,0,0,0,2,0,2,0,0
Athens,2012,"12,946",55,0,14,6,35,445,104,320,21,0
Atlanta,2012,"5,717",44,0,7,7,30,220,58,153,9,1
Aubrey,2012,"2,731",7,0,2,0,5,61,11,49,1,1
Austin,2012,"832,901","3,405",31,209,978,"2,187","43,472","7,244","33,913","2,315",121
Azle,2012,"11,337",25,0,2,4,19,384,90,279,15,7
Baird,2012,"1,515",0,0,0,0,0,10,8,2,0,0
Balch Springs,2012,"24,574",177,0,23,27,127,"1,382",215,"1,030",137,0
Balcones Heights,2012,"2,859",27,0,0,17,10,578,54,487,37,2
Ballinger,2012,"3,831",7,0,2,0,5,81,25,54,2,0
Bangs,2012,"1,630",4,0,0,0,4,5,2,2,1,0
Bastrop,2012,"7,415",22,0,3,5,14,468,46,412,10,3
Bay City,2012,"17,928",54,1,8,10,35,678,143,528,7,4
Bayou Vista,2012,"1,584",9,0,0,0,9,34,11,20,3,0
Baytown,2012,"74,420",247,5,15,97,130,"3,684",939,"2,438",307,23
Beaumont,2012,"120,323","1,242",13,76,408,745,"5,824","1,828","3,717",279,49
Bedford,2012,"48,763",143,1,10,29,103,"1,331",282,972,77,2
Bee Cave,2012,"4,137",12,0,2,0,10,145,17,121,7,0
Beeville,2012,"13,179",30,1,0,4,25,257,43,203,11,2
Bellaire,2012,"17,481",23,0,2,15,6,332,56,261,15,0
Bellmead,2012,"10,212",182,0,8,14,160,"1,152",137,972,43,2
Bellville,2012,"4,193",9,0,3,0,6,107,21,85,1,0
Belton,2012,"18,763",64,1,1,13,49,725,145,578,2,0
Benbrook,2012,"22,040",31,1,3,9,18,440,78,343,19,0
Bertram,2012,"1,384",1,0,0,0,1,30,15,15,0,2
Beverly Hills,2012,"2,056",15,0,2,5,8,90,25,63,2,1
Big Sandy,2012,"1,380",1,0,0,0,1,9,4,5,0,0
Big Spring,2012,"27,774",160,2,15,11,132,"1,099",271,785,43,6
Bishop,2012,"3,211",4,0,2,0,2,73,20,50,3,0
Blanco,2012,"1,781",4,0,0,0,4,42,9,32,1,0
Bloomburg,2012,406,0,0,0,0,0,0,0,0,0,0
Blue Mound,2012,"2,484",0,0,0,0,0,24,3,21,0,0
Boerne,2012,"11,047",17,0,2,4,11,352,34,309,9,0
Bogata,2012,"1,157",5,0,0,1,4,34,14,19,1,0
Bonham,2012,"10,288",21,1,5,2,13,287,78,207,2,2
Borger,2012,"13,438",131,0,18,4,109,573,152,407,14,5
Bovina,2012,"1,906",6,0,1,0,5,6,1,5,0,0
Bowie,2012,"5,293",12,0,2,1,9,272,47,212,13,0
Brady,2012,"5,616",10,0,0,0,10,124,46,72,6,1
Brazoria,2012,"3,133",7,0,1,0,6,47,3,38,6,0
Breckenridge,2012,"5,815",9,0,4,0,5,84,28,53,3,1
Bremond,2012,950,3,0,0,0,3,26,9,17,0,0
Brenham,2012,"15,988",34,1,0,7,26,444,86,339,19,1
Bridge City,2012,"8,020",22,0,4,3,15,165,32,127,6,0
Bridgeport,2012,"6,138",14,0,4,0,10,102,19,82,1,0
Brookshire,2012,"4,865",17,1,2,3,11,107,34,64,9,4
Brookside Village,2012,"1,581",0,0,0,0,0,12,7,5,0,0
Brownfield,2012,"9,820",35,0,3,7,25,175,65,105,5,2
Brownsville,2012,"181,102",473,3,38,125,307,"8,337","1,145","6,986",206,20
Brownwood,2012,"19,618",103,0,16,9,78,926,137,765,24,3
Bruceville-Eddy,2012,"1,521",2,1,0,0,1,8,2,6,0,0
Bryan,2012,"78,479",312,1,31,69,211,"2,473",496,"1,889",88,21
Buda,2012,"7,797",10,0,2,3,5,225,21,197,7,0
Bullard,2012,"2,546",12,0,5,0,7,44,6,35,3,0
