City,Year,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3
Abernathy,2013,"2,821",0,0,,0,0,0,12,12,0,0,1
Abilene,2013,"119,401",477,1,,37,125,314,"4,769","1,055","3,460",254,16
Addison,2013,"15,961",51,1,,4,11,35,784,129,593,62,1
Alamo,2013,"18,876",164,0,,11,27,126,"1,336",203,"1,052",81,1
Alamo Heights,2013,"7,443",9,0,,2,2,5,235,36,194,5,0
Alice,2013,"19,673",155,0,,9,11,135,"1,208",236,929,43,14
Allen,2013,"91,289",62,0,13,,13,36,"1,205",170,985,50,13
Alton,2013,"14,756",10,1,,0,6,3,325,69,223,33,2
Alvarado,2013,"3,813",16,0,,1,3,12,161,50,101,10,1
Alvin,2013,"25,110",53,1,,10,15,27,668,117,513,38,0
Amarillo,2013,"196,577","1,286",9,214,,242,821,"8,154","1,816","5,643",695,50
Andrews,2013,"12,529",94,0,,22,2,70,321,74,220,27,4
Angleton,2013,"19,016",58,1,,13,6,38,512,86,410,16,4
Anna,2013,"8,634",7,0,,1,1,5,103,46,52,5,1
Anson,2013,"2,332",4,0,,0,0,4,33,15,18,0,0
Anthony,2013,"5,201",5,0,,0,3,2,140,20,118,2,0
Aransas Pass,2013,"8,316",32,0,,1,7,24,467,135,311,21,3
Arcola,2013,"1,663",5,0,,0,0,5,26,8,10,8,0
Argyle,2013,"3,554",3,0,,0,1,2,21,5,14,2,0
Arlington,2013,"378,765","1,837",18,,105,562,"1,152","15,000","3,181","10,879",940,38
Arp,2013,986,0,0,,0,0,0,0,0,0,0,0
Atlanta,2013,"5,575",24,0,,3,8,13,240,52,184,4,0
Aubrey,2013,"2,730",6,0,,1,1,4,57,10,46,1,2
Austin,2013,"859,180","3,123",26,,217,763,"2,117","41,667","6,550","32,948","2,169",105
Azle,2013,"11,304",28,0,,3,4,21,469,104,346,19,2
Baird,2013,"1,492",2,0,,0,0,2,27,14,13,0,0
Balch Springs,2013,"25,186",200,2,,32,45,121,"1,393",261,996,136,0
Balcones Heights,2013,"2,840",9,0,,1,2,6,373,17,326,30,0
