City,Year,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Abernathy,2015,"2,732",1,0,0,,1,0,48,18,24,6,1
Abilene,2015,"121,764",613,7,84,,128,394,"5,354","1,168","3,798",388,28
Addison,2015,"16,125",65,0,10,,13,42,759,104,573,82,1
Alamo,2015,"19,385",159,0,17,,13,129,"1,125",148,920,57,2
Alamo Heights,2015,"8,003",5,0,0,,0,5,276,31,239,6,0
Allen,2015,"96,642",80,0,34,,6,40,"1,041",167,826,48,0
Alpine,2015,"5,953",6,1,1,,0,4,39,7,27,5,0
Alton,2015,"15,895",11,0,0,,3,8,254,56,176,22,0
Alvarado,2015,"3,937",11,0,4,,1,6,94,20,70,4,0
Alvin,2015,"25,842",44,0,11,,4,29,709,102,574,33,1
Amarillo,2015,"198,770","1,278",7,166,,272,833,"9,269","1,815","6,671",783,26
Andrews,2015,"13,835",78,0,12,,10,56,324,48,245,31,1
Angleton,2015,"19,629",53,1,15,,8,29,397,59,320,18,0
Anna,2015,"11,235",12,0,1,,2,9,114,35,76,3,0
Anson,2015,"2,298",7,0,2,,0,5,58,24,29,5,1
Anthony,2015,"5,524",9,0,1,,3,5,175,11,161,3,0
Aransas Pass,2015,"8,534",37,1,0,,2,34,420,144,262,14,0
Arcola3,2015,"1,672",4,0,0,,1,3,,11,,1,0
Argyle,2015,"3,845",0,0,0,,0,0,27,13,13,1,0
Arlington,2015,"387,565","1,946",8,208,,529,"1,201","13,346","2,170","10,298",878,29
Arp,2015,992,1,0,0,,0,1,2,2,0,0,0
Athens,2015,"12,844",42,0,11,,7,24,509,123,363,23,0
Atlanta,2015,"5,579",29,0,10,,3,16,230,52,175,3,0
Aubrey,2015,"2,864",0,0,0,,0,0,44,15,21,8,0
Austin,2015,"938,728","3,497",23,487,,929,"2,058","35,399","5,000","28,068","2,331",91
Azle,2015,"11,673",27,0,0,,3,24,341,84,243,14,5
Baird,2015,"1,476",1,0,1,,0,0,25,11,14,0,0
Balch Springs,2015,"25,426",250,1,22,,41,186,"1,094",198,731,165,0
Balcones Heights,2015,"2,934",33,0,3,,4,26,425,19,377,29,0
Ballinger,2015,"3,723",17,1,3,,0,13,81,19,53,9,1
Bangs,2015,"1,564",2,0,0,,0,2,15,2,13,0,0
Bartonville,2015,"1,682",0,0,0,,0,0,7,0,7,0,0
Bastrop,2015,"8,019",22,0,5,,1,16,469,23,426,20,4
Bay City,2015,"17,305",59,1,8,,15,35,714,189,520,5,3
Bayou Vista,2015,"1,576",2,0,1,,0,1,22,9,13,0,0
Baytown,2015,"77,145",233,6,34,,81,112,"2,876",483,"1,967",426,10
Beaumont,2015,"117,635","1,088",16,92,,298,682,"4,840","1,295","3,308",237,39
Bedford,2015,"49,377",137,1,16,,25,95,"1,190",176,940,74,2
Bee Cave,2015,"6,586",16,0,3,,1,12,149,6,135,8,0
Beeville,2015,"13,414",43,0,0,,3,40,470,96,373,1,1
Bellaire,2015,"18,605",21,0,0,,15,6,284,73,195,16,0
Bellmead,2015,"10,249",104,0,11,,13,80,"1,133",115,984,34,3
Bellville,2015,"4,235",11,0,3,,2,6,62,17,45,0,0
Belton,2015,"20,565",28,0,1,,5,22,702,146,551,5,9
Benbrook,2015,"22,708",28,1,8,,6,13,480,98,354,28,0
Bertram,2015,"1,380",2,0,0,,0,2,25,9,11,5,0
