City,Year,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition1)","Rape
(legacy
definition2)",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Abernathy,2016,"2,728",3,0,0,,0,3,57,23,29,5,0
Abilene,2016,"122,523",546,8,70,,133,335,"4,269",905,"3,113",251,21
Addison,2016,"16,067",101,1,12,,28,60,840,100,650,90,6
Alamo,2016,"19,409",166,0,8,,26,132,"1,013",108,833,72,3
Alamo Heights,2016,"8,248",8,1,1,,2,4,268,37,227,4,1
Alice,2016,"19,464",109,0,7,,5,97,"1,270",371,859,40,10
Allen,2016,"101,020",80,0,25,,11,44,"1,143",153,937,53,0
Alpine,2016,"5,939",3,1,0,,0,2,46,18,27,1,3
Alton,2016,"16,137",11,0,1,,5,5,280,50,212,18,1
Alvarado,2016,"4,058",10,0,2,,2,6,117,20,87,10,0
Alvin,2016,"26,100",56,0,17,,10,29,645,86,495,64,2
Amarillo,2016,"200,141","1,414",11,162,,260,981,"9,472","1,797","6,756",919,32
Andrews,2016,"14,428",71,0,15,,2,54,284,47,219,18,4
Angleton,2016,"19,546",58,0,14,,16,28,372,69,287,16,1
Anna,2016,"12,233",9,0,0,,0,9,134,23,104,7,0
Anson,2016,"2,315",5,0,0,,0,5,35,9,22,4,0
Anthony,2016,"5,618",7,0,1,,2,4,158,9,144,5,0
Aransas Pass,2016,"8,603",58,2,0,,8,48,469,120,327,22,3
Arcola,2016,"1,679",1,0,0,,0,1,4,1,1,2,0
Argyle,2016,"4,047",3,0,0,,0,3,21,8,12,1,0
Arlington,2016,"392,666","2,188",21,307,,557,"1,303","12,383","2,115","9,189","1,079",15
Arp,2016,"1,001",0,0,0,,0,0,0,0,0,0,0
Athens,2016,"12,802",43,1,11,,7,24,421,140,251,30,0
Atlanta,2016,"5,594",35,1,7,,4,23,242,54,178,10,0
Aubrey,2016,"3,527",8,0,0,,0,8,20,8,11,1,0
Austin,2016,"956,911","3,903",39,751,,"1,048","2,065","33,545","5,232","26,125","2,188",74
Azle,2016,"11,854",17,1,0,,2,14,331,65,245,21,8
Baird,2016,"1,481",1,0,1,,0,0,28,8,17,3,1
Balch Springs,2016,"25,474",146,2,12,,59,73,889,176,573,140,0
Balcones Heights,2016,"3,366",32,0,1,,13,18,409,21,346,42,0
Ballinger,2016,"3,767",16,0,1,,0,15,109,46,58,5,1
Bangs,2016,"1,575",1,0,0,,0,1,15,1,14,0,0
Bartonville,2016,"1,702",0,0,0,,0,0,15,1,14,0,0
Bastrop,2016,"8,447",40,3,7,,7,23,547,40,473,34,1
Bay City,2016,"17,595",57,1,9,,12,35,749,152,593,4,3
Bayou Vista,2016,"1,603",0,0,0,,0,0,15,4,10,1,0
Baytown,2016,"77,224",302,9,25,,98,170,"2,858",525,"1,960",373,7
Beaumont,2016,"118,283","1,316",14,86,,379,837,"5,065","1,460","3,299",306,49
Bedford,2016,"49,803",129,0,21,,42,66,"1,077",166,837,74,2
Bee Cave,2016,"6,891",11,0,4,,1,6,142,25,110,7,0
Beeville,2016,"13,362",81,2,5,,4,70,343,82,259,2,1
Bellaire,2016,"18,859",28,1,0,,22,5,277,84,178,15,1
Bellmead,2016,"10,212",152,1,26,,12,113,742,82,628,32,3
Bellville,2016,"4,296",9,0,3,,2,4,71,10,59,2,0
Belton,2016,"20,988",40,2,3,,12,23,591,103,482,6,2
Benbrook,2016,"22,906",36,2,7,,10,17,457,80,353,24,0
Beverly Hills,2016,"2,034",10,0,1,,0,9,61,10,46,5,0
Big Sandy,2016,"1,380",0,0,0,,0,0,0,0,0,0,0
Big Spring,2016,"29,189",174,3,6,,15,150,"1,406",305,"1,022",79,8
Bishop,2016,"3,154",4,0,0,,0,4,54,8,43,3,1
Blanco,2016,"1,913",8,1,0,,1,6,20,7,12,1,0
Boerne3,2016,"14,368",25,0,9,,3,13,374,39,309,26,1
Bogata,2016,"1,103",3,0,0,,0,3,22,4,18,0,2
Bonham,2016,"10,070",19,0,2,,5,12,223,45,167,11,0
Borger,2016,"12,894",40,0,15,,3,22,502,167,301,34,1
Bovina,2016,"1,750",6,0,1,,0,5,7,2,4,1,1
Bowie,2016,"5,108",11,0,2,,4,5,343,67,255,21,0
Boyd,2016,"1,362",7,0,1,,0,6,14,10,4,0,0
Brady,2016,"5,560",2,0,0,,0,2,122,21,95,6,1
Brazoria,2016,"3,082",5,0,3,,0,2,51,11,34,6,0
Breckenridge,2016,"5,556",15,0,9,,0,6,131,30,97,4,0
Bremond,2016,919,2,0,0,,0,2,5,3,1,1,0
Brenham,2016,"16,736",44,1,13,,9,21,390,92,264,34,0
Bridge City,2016,"7,959",16,1,1,,0,14,116,26,75,15,0
Bridgeport,2016,"6,466",15,0,2,,0,13,79,18,60,1,0
Brookshire,2016,"5,203",23,0,1,,6,16,77,34,28,15,0
Brookside Village,2016,"1,577",0,0,0,,0,0,0,0,0,0,0
Brownfield,2016,"9,750",28,1,3,,2,22,181,63,108,10,1
Brownsville,2016,"185,583",448,4,50,,130,264,"6,028",917,"4,960",151,9
Brownwood,2016,"18,983",82,0,16,,3,63,607,99,474,34,1
Bryan,2016,"83,286",420,1,59,,96,264,"2,552",511,"1,899",142,7
Buda,2016,"15,449",13,0,0,,6,7,273,14,236,23,0
Bullard,2016,"2,906",8,0,1,,0,7,66,11,53,2,0
Bulverde,2016,"4,999",6,0,0,,1,5,126,14,112,0,0
Burkburnett,2016,"11,088",46,0,4,,3,39,331,64,244,23,1
Burleson,2016,"45,116",84,0,16,,13,55,843,114,680,49,3
Burnet,2016,"6,288",22,0,0,,2,20,103,30,69,4,0
Cactus,2016,"3,198",6,0,0,,0,6,44,17,23,4,0
Caddo Mills,2016,"1,497",10,0,0,,0,10,17,14,1,2,0
Caldwell,2016,"4,318",8,0,3,,1,4,17,1,16,0,0
Calvert,2016,"1,144",4,0,0,,1,3,20,8,11,1,0
Cameron,2016,"5,445",28,0,4,,2,22,179,39,134,6,0
Canton,2016,"3,790",0,0,0,,0,0,92,0,86,6,0
Canyon3,2016,"15,212",24,0,7,,1,16,151,20,119,12,0
Carrollton,2016,"136,095",220,4,51,,65,100,"2,659",500,"1,901",258,2
Carthage,2016,"6,858",24,0,0,,5,19,315,39,264,12,0
Castle Hills,2016,"4,485",5,0,0,,3,2,358,49,299,10,0
Castroville,2016,"2,960",0,0,0,,0,0,50,7,41,2,0
Cedar Hill,2016,"49,215",116,2,10,,50,54,"1,541",207,"1,240",94,2
Cedar Park,2016,"69,051",116,0,41,,17,58,964,152,777,35,7
Celina,2016,"8,074",13,0,4,,1,8,58,11,46,1,3
Center3,2016,"5,218",32,0,7,,1,24,253,35,212,6,1
Chillicothe,2016,650,0,0,0,,0,0,3,2,1,0,0
Cibolo,2016,"28,077",24,0,3,,4,17,302,31,253,18,1
Cisco,2016,"3,769",2,0,0,,0,2,56,23,27,6,0
Cleburne,2016,"30,069",87,0,15,,13,59,765,153,570,42,1
Cleveland,2016,"7,893",71,1,3,,16,51,445,57,340,48,1
Clifton,2016,"3,344",3,0,0,,1,2,42,12,30,0,0
Clute,2016,"11,490",16,1,1,,5,9,195,47,138,10,0
Clyde,2016,"3,784",3,0,0,,1,2,64,18,46,0,0
Cockrell Hill,2016,"4,340",31,0,5,,13,13,108,21,75,12,0
Coleman,2016,"4,334",7,0,0,,0,7,69,44,21,4,0
College Station,2016,"110,785",245,3,52,,50,140,"2,290",342,"1,840",108,1
Colleyville,2016,"26,038",6,0,1,,2,3,149,45,100,4,0
Collinsville,2016,"1,700",0,0,0,,0,0,9,1,8,0,0
Colorado City,2016,"4,111",8,0,1,,1,6,95,38,52,5,0
Columbus,2016,"3,625",6,0,2,,0,4,52,9,38,5,0
Comanche,2016,"4,171",16,0,5,,4,7,159,57,101,1,0
Combes,2016,"3,089",0,0,0,,0,0,39,8,31,0,0
Commerce,2016,"9,062",43,0,2,,6,35,176,37,136,3,0
