Cities,Year,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Abernathy,2017,"2,756",8,0,0,0,8,27,3,16,8,0
"Abilene2, 3",2017,"122,981",636,4,100,138,394,,,"2,605",260,20
Addison,2017,"15,795",95,0,22,16,57,773,111,565,97,5
Alamo,2017,"19,351",178,0,15,20,143,946,124,771,51,2
Alamo Heights,2017,"8,507",14,0,0,1,13,182,25,152,5,0
Alice,2017,"19,311",90,0,8,3,79,"1,031",308,685,38,12
Allen,2017,"101,779",100,2,24,30,44,"1,268",155,"1,061",52,0
Alpine,2017,"5,983",12,0,1,0,11,64,33,24,7,3
Alton,2017,"17,432",16,0,0,7,9,286,40,234,12,1
Alvarado,2017,"4,033",18,0,4,1,13,94,26,55,13,0
Alvin,2017,"26,488",49,1,21,13,14,485,83,342,60,1
Amarillo,2017,"200,993","1,518",16,183,237,"1,082","8,787","1,684","6,113",990,46
Andrews,2017,"14,032",50,0,8,1,41,175,27,132,16,2
Anna,2017,"12,716",5,1,0,1,3,144,21,112,11,1
Anson,2017,"2,313",18,0,0,0,18,15,8,4,3,0
Anthony,2017,"5,681",11,0,2,2,7,133,10,112,11,1
Aransas Pass,2017,"8,431",53,0,1,4,48,428,115,290,23,3
Arcola,2017,"2,315",1,0,0,0,1,2,2,0,0,0
Argyle,2017,"4,145",3,1,0,1,1,28,3,23,2,0
Arlington3,2017,"397,377","2,054",19,254,576,"1,205","12,707","1,801","9,546","1,360",29
Arp,2017,"1,008",2,0,2,0,0,5,3,2,0,0
Athens,2017,"12,826",41,0,9,7,25,339,78,234,27,1
Atlanta,2017,"5,634",32,0,5,2,25,183,54,124,5,0
Aubrey,2017,"3,535",4,0,0,3,1,13,7,3,3,0
Austin,2017,"971,949","4,032",25,834,987,"2,186","31,001","4,380","24,542","2,079",76
Azle,2017,"12,266",21,0,0,3,18,298,42,249,7,6
Baird,2017,"1,516",8,0,2,0,6,19,3,12,4,0
Balch Springs3,2017,"25,199",193,2,17,54,120,857,139,572,146,0
Balcones Heights,2017,"3,386",41,0,2,12,27,459,36,381,42,0
Ballinger,2017,"3,725",6,0,0,0,6,44,11,32,1,1
Bangs,2017,"1,579",9,0,0,0,9,9,3,6,0,0
Bartonville,2017,"1,715",2,0,2,0,0,12,1,9,2,0
Bastrop,2017,"8,755",51,0,4,9,38,419,38,358,23,1
Bay City3,2017,"17,842",93,3,9,23,58,576,149,416,11,7
Bayou Vista,2017,"1,625",0,0,0,0,0,5,1,4,0,0
Baytown,2017,"76,704",288,6,38,108,136,"2,678",506,"1,846",326,1
Beaumont,2017,"118,456","1,259",16,86,304,853,"5,136","1,259","3,472",405,42
Bedford,2017,"49,947",112,1,23,34,54,"1,028",151,775,102,0
Bee Cave,2017,"7,087",9,0,1,1,7,158,15,138,5,1
Beeville,2017,"13,317",33,1,1,0,31,301,90,203,8,1
Bellaire,2017,"18,892",26,0,4,20,2,301,45,244,12,0
Bellmead3,2017,"10,371",239,0,21,16,202,675,66,581,28,3
Bellville3,2017,"4,304",12,0,8,0,4,57,15,42,0,1
Belton,2017,"21,310",35,1,5,11,18,553,102,447,4,1
Benbrook,2017,"23,236",37,1,9,10,17,441,61,359,21,2
Beverly Hills,2017,"2,021",11,0,0,1,10,68,16,43,9,0
Big Sandy,2017,"1,388",0,0,0,0,0,2,1,0,1,0
Big Spring,2017,"28,747",166,2,8,22,134,"1,029",221,723,85,7
Bishop,2017,"3,135",8,0,0,1,7,43,14,25,4,0
Blanco,2017,"1,989",3,0,0,0,3,32,11,20,1,0
Blue Mound,2017,"2,514",3,0,0,1,2,21,2,15,4,0
Boerne,2017,"15,521",23,1,12,0,10,352,21,302,29,0
Bogata,2017,"1,074",3,0,0,0,3,25,7,17,1,0
Bonham,2017,"10,123",26,0,8,1,17,198,54,140,4,4
Borger3,2017,"12,791",51,2,27,3,19,514,158,320,36,2
Bovina,2017,"1,762",8,0,0,0,8,15,5,9,1,0
Bowie,2017,"5,131",9,0,1,3,5,205,51,145,9,0
Boyd,2017,"1,399",2,0,0,0,2,22,5,16,1,0
Brady,2017,"5,414",6,0,0,0,6,152,52,94,6,0
Brazoria,2017,"3,080",6,0,0,2,4,58,11,42,5,0
Breckenridge,2017,"5,530",15,0,2,0,13,105,24,78,3,2
Bridge City,2017,"8,219",25,0,3,1,21,120,20,87,13,0
Bridgeport3,2017,"6,601",28,0,6,1,21,68,11,53,4,0
Brookshire,2017,"5,323",19,0,2,3,14,62,17,33,12,1
Brownfield,2017,"9,798",28,0,1,4,23,127,30,89,8,1
Brownsville,2017,"185,216",476,5,79,133,259,"5,176",661,"4,374",141,6
Brownwood,2017,"19,133",81,1,20,9,51,672,96,554,22,0
Bryan,2017,"84,438",363,4,53,69,237,"2,028",348,"1,557",123,16
