City,Year,Population,Violent Crime,Property Crime,Total Crime,"Total Crime Per Capita [10,000]","Violent Crime Per Capita [10,000]","Property Crime Per Capita [10,000]"
Baytown,2012,74420.0,247.0,3684.0,3931.0,528.2182209083579,33.19000268744961,495.02821822090834
Friendswood,2012,36965.0,15.0,353.0,368.0,99.55363181387798,4.057892601109158,95.49573921276884
Galveston,2012,49170.0,296.0,2469.0,2765.0,562.3347569656295,60.19930852145617,502.1354484441733
Houston,2012,2177273.0,21610.0,107678.0,129288.0,593.8070237402476,99.25259717086465,494.5544265693829
La Porte,2012,35054.0,61.0,604.0,665.0,189.70730872368347,17.401723055856678,172.3055856678268
League City,2012,86127.0,79.0,1734.0,1813.0,210.50309426776735,9.17250107399538,201.330593193772
Missouri City,2012,70819.0,86.0,879.0,965.0,136.2628673096203,12.143633770598287,124.119233539022
Pasadena,2012,154562.0,622.0,5610.0,6232.0,403.2038922891785,40.24275048200722,362.96114180717126
Sugar Land,2012,82924.0,109.0,1541.0,1650.0,198.97737687521104,13.144566108726062,185.83281076648495
Texas City,2012,46448.0,148.0,1700.0,1848.0,397.86427833275917,31.863589390285913,366.0006889424733
Baytown,2013,73709.0,285.0,3653.0,3938.0,534.263115766053,38.66556322837103,495.59755253768196
Friendswood,2013,37226.0,11.0,418.0,429.0,115.2420351367324,2.954923977864933,112.28711115886745
Galveston,2013,48067.0,236.0,2335.0,2571.0,534.8783989015333,49.09813385482764,485.78026504670567
Houston,2013,2180606.0,20993.0,110919.0,131912.0,604.932757224368,96.27140345390227,508.66135377046567
La Porte,2013,34671.0,40.0,593.0,633.0,182.57333217963136,11.537019411035159,171.03631276859622
League City,2013,89596.0,96.0,1918.0,2014.0,224.78682084021608,10.714764051966606,214.07205678824945
Missouri City,2013,69487.0,72.0,1151.0,1223.0,176.00414466015224,10.36165038064674,165.64249427950554
Pasadena,2013,153195.0,592.0,5501.0,6093.0,397.7283853911681,38.643558862887176,359.084826528281
Sugar Land,2013,83460.0,108.0,1613.0,1721.0,206.20656601965013,12.940330697340043,193.2662353223101
Texas City,2013,45793.0,126.0,1745.0,1871.0,408.5777302207761,27.515122398619877,381.0626078221562
Baytown,2014,76253.0,241.0,3157.0,3398.0,445.62181160085504,31.6053138892896,414.0164977115655
Friendswood,2014,38012.0,21.0,329.0,350.0,92.07618646743134,5.52457118804588,86.55161527938544
Galveston,2014,48961.0,256.0,2054.0,2310.0,471.80408896877105,52.28651375584649,419.5175752129246
Houston,2014,2219933.0,22008.0,104197.0,126205.0,568.5081486693517,99.138127141675,469.3700215276767
La Porte,2014,34852.0,70.0,584.0,654.0,187.65063697922645,20.084930563525766,167.56570641570067
League City,2014,92790.0,98.0,1807.0,1905.0,205.30229550598122,10.561482918417934,194.74081258756334
Missouri City,2014,70853.0,126.0,1162.0,1288.0,181.7848220964532,17.783297813783467,164.00152428266975
Pasadena,2014,153540.0,591.0,4630.0,5221.0,340.0416829490686,38.49159828057835,301.5500846684903
