Region,Month of Period End,Property Type,Region Type,Seasonally Adjusted,State Code,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,New Listings,New Listings Mom,New Listings Yoy
"Sugar Land, TX",February 2012,All Residential,Place/City,False,TX,0.952058437,-0.5%,0.6%,113,24.2%,20.2%,563,1.1%,-27.9%,88,9,10,$220K,-0.7%,-5.0%,183,27.1%,-9.0%
"Missouri City, TX",February 2012,All Residential,Place/City,False,TX,0.966080935,1.6%,1.7%,88,15.8%,20.5%,494,-2.4%,-27.8%,105,-2,17,$185K,7.5%,9.4%,154,13.2%,13.2%
"Galveston, TX",May 2012,All Residential,Place/City,False,TX,0.936674990,-1.1%,-6.3%,97,22.8%,9600.0%,623,-1.0%,19.3%,77,15,42,$139K,-6.1%,-9.8%,130,-11.0%,62.5%
"Texas City, TX",May 2012,All Residential,Place/City,False,TX,0.949948065,2.0%,-6.3%,30,25.0%,2900.0%,218,-4.8%,21.8%,61,-9,56,$84K,23.0%,222.4%,43,-27.1%,34.4%
"Baytown, TX",July 2012,All Residential,Place/City,False,TX,0.981431592,1.4%,0.8%,84,-10.6%,9.1%,442,-2.6%,-15.0%,69,12,5,$120K,0.2%,9.0%,110,-22.0%,20.9%
"Missouri City, TX",August 2012,All Residential,Place/City,False,TX,0.965879616,-0.6%,1.3%,138,1.5%,12.2%,541,-2.9%,-21.9%,54,-4,-43,$175K,-12.5%,0.3%,167,-1.2%,0.6%
"Missouri City, TX",December 2012,All Residential,Place/City,False,TX,0.957547677,-1.4%,0.5%,136,20.4%,33.3%,434,-5.7%,-13.0%,90,19,-6,$189K,2.2%,18.0%,108,-10.7%,27.1%
"League City, TX",January 2013,All Residential,Place/City,False,TX,0.971578725,1.4%,1.7%,87,-24.3%,24.3%,476,-1.2%,-21.5%,59,-22,-46,$171K,-9.0%,-3.4%,155,58.2%,16.5%
"Baytown, TX",February 2013,All Residential,Place/City,False,TX,0.945331741,-2.3%,-1.9%,70,20.7%,14.8%,352,-1.7%,-13.1%,82,-11,-7,$90K,-25.7%,-8.5%,83,1.2%,-15.3%
"Friendswood, TX",February 2013,All Residential,Place/City,False,TX,0.950292612,-2.0%,0.5%,43,4.9%,19.4%,230,6.0%,-20.7%,87,10,-28,$160K,3.3%,-29.2%,82,9.3%,6.5%
"Galveston, TX",February 2013,All Residential,Place/City,False,TX,0.945535550,1.5%,3.9%,61,13.0%,10.9%,601,7.7%,2.6%,98,-19,8,$162K,24.9%,-3.6%,141,-2.1%,-8.4%
