City,"Total Crime Per Capita [10,000]","Violent Crime Per Capita [10,000]","Property Crime Per Capita [10,000]",Color
Baytown,441.9531744756941,35.40923217689113,406.5439422988029,royalblue
Friendswood,95.35665003471625,6.371622089851167,88.98502794486508,purple
Galveston,453.85663687623247,50.74660014852287,403.1100367277096,mediumturquoise
Houston,554.7267901373413,101.85947178657865,452.8673183507625,gold
La Porte,184.05744419569797,21.480662370208922,162.57678182548904,darkorange
League City,196.44214947568486,9.429057530203997,187.01309194548088,grey
Missouri City,167.02602918605862,16.989058114347735,150.0369710717109,blue
Pasadena,334.8061640089726,42.16793764025441,292.63822636871816,brown
Sugar Land,175.69007958210497,10.204585078995494,165.48549450310946,deeppink
Texas City,394.1798261325722,40.04930988314454,354.1305162494278,limegreen
