Geo_ID,Geographic Area Name,Year,Estimate HOUSING OCCUPANCY Total housing units,Estimate HOUSING OCCUPANCY Occupied housing units,Estimate HOUSING OCCUPANCY Vacant housing units,Estimate YEAR STRUCTURE BUILT Total housing units,Estimate YEAR STRUCTURE BUILT Built 2005 or later,Estimate YEAR STRUCTURE BUILT Built 2000 to 2004,Estimate YEAR STRUCTURE BUILT Built 1990 to 1999,Estimate YEAR STRUCTURE BUILT Built 1980 to 1989,Estimate YEAR STRUCTURE BUILT Built 1970 to 1979,Estimate YEAR STRUCTURE BUILT Built 1960 to 1969,Estimate YEAR STRUCTURE BUILT Built 1950 to 1959,Estimate YEAR STRUCTURE BUILT Built 1940 to 1949,Estimate YEAR STRUCTURE BUILT Built 1939 or earlier,Estimate YEAR HOUSEHOLDER MOVED INTO UNIT Occupied housing units,Estimate YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2005 or later,Estimate YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2000 to 2004,Estimate YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 1990 to 1999,Estimate YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 1980 to 1989,Estimate YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 1970 to 1979,Estimate YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 1969 or earlier,Estimate VALUE Owner-occupied units,"Estimate VALUE Less than $50,000","Estimate VALUE $50,000 to $99,999","Estimate VALUE $100,000 to $149,999","Estimate VALUE $150,000 to $199,999","Estimate VALUE $200,000 to $299,999","Estimate VALUE $300,000 to $499,999","Estimate VALUE $500,000 to $999,999","Estimate VALUE $1,000,000 or more",Estimate VALUE Median (dollars),State
1,United States,2012,132452249,115969540,16482709,132452249,1199560,19799406,18348209,18326856,20944138,14577453,14397367,7072019,17787241,115969540,31507002,45461532,18996653,9200406,6071721,4732226,74119256,6784356,12100148,12245474,11370120,13393416,11068593,5696677,1460472,171900,Texas
1000,"Abilene city, Texas",2012,48583,42756,5827,48583,669,4371,3133,9109,7584,6303,8996,3144,5274,42756,16619,14815,5551,2129,2080,1562,22178,4654,7085,4910,3475,1338,645,71,0,95300,Texas
1924,"Allen city, Texas",2012,28802,28574,228,28802,1026,12728,7679,4345,2320,350,354,0,0,28574,7753,15729,4145,640,274,33,21042,80,425,3321,6738,5524,3323,1345,286,199600,Texas
3000,"Amarillo city, Texas",2012,80816,74018,6798,80816,669,9818,6229,11426,13415,11985,14797,6288,6189,74018,24998,27548,10051,4344,4445,2632,45104,5144,13317,13526,6681,4093,1670,571,102,115000,Texas
4000,"Arlington city, Texas",2012,147340,132941,14399,147340,755,19901,28780,40595,34239,12400,8727,1319,624,132941,48428,52951,19529,6404,3821,1808,72997,3302,16210,26830,13884,9746,2086,860,79,129100,Texas
4462,"Atascocita CDP, Texas",2012,22161,21107,1054,22161,1103,11625,4164,2984,1798,0,0,0,487,21107,5954,11610,2140,1138,192,73,16686,219,1220,6520,5167,2166,704,143,547,153200,Texas
5000,"Austin city, Texas",2012,360518,330838,29680,360518,5351,81192,54526,76066,68095,31910,21874,10249,11255,330838,154158,115893,34647,13033,7960,5147,147758,4958,9788,21964,28202,36019,31138,12179,3510,222100,Texas
6128,"Baytown city, Texas",2012,29227,25181,4046,29227,146,4942,3683,3742,5416,2992,3789,2738,1779,25181,6526,11286,3794,1620,1390,565,16196,2764,7097,3332,1660,1114,152,50,27,91700,Texas
7000,"Beaumont city, Texas",2012,51523,45042,6481,51523,535,7854,3454,6181,9544,8695,8771,2891,3598,45042,15596,16169,6155,2690,2883,1549,25516,5510,7369,4731,3522,2555,1353,240,236,99300,Texas
10768,"Brownsville city, Texas",2012,57144,52082,5062,57144,720,15604,9943,10191,10768,4424,2272,1386,1836,52082,12710,22966,7665,4257,2516,1968,32331,7074,15141,4133,2805,1956,935,237,50,78100,Texas
10912,"Bryan city, Texas",2012,30342,27010,3332,30342,1433,5853,3621,5956,4897,3658,3191,706,1027,27010,11905,9518,2205,1583,1253,546,12557,1791,3392,3778,1553,1445,302,49,247,114800,Texas
13024,"Carrollton city, Texas",2012,47111,44446,2665,47111,575,6785,7808,16607,10159,3340,1517,158,162,44446,13632,18475,8186,2399,1585,169,27386,610,2118,7649,7736,6742,1866,483,182,167500,Texas
15976,"College Station city, Texas",2012,40473,34900,5573,40473,1309,12650,6625,7876,8743,1532,1259,356,123,34900,18657,10901,3704,1085,309,244,13789,187,392,2809,5146,3380,1387,488,0,180600,Texas
17000,"Corpus Christi city, Texas",2012,126054,111078,14976,126054,774,16083,13925,23847,24063,17428,19252,7822,2860,111078,36687,41105,14548,7787,6085,4866,62280,6325,19485,17869,9161,6056,2471,792,121,113900,Texas
19000,"Dallas city, Texas",2012,525228,463719,61509,525228,4987,70960,50496,90759,105346,72779,67797,32640,29464,463719,198626,161044,51284,21397,18676,12692,196361,19404,55184,31755,19631,25884,27519,12073,4911,133200,Texas
19972,"Denton city, Texas",2012,45121,42108,3013,45121,494,13783,7237,7985,5779,5468,2894,829,652,42108,18537,18667,2698,1120,350,736,20068,1380,2815,7468,4337,2798,964,306,0,139500,Texas
22660,"Edinburg city, Texas",2012,27677,26325,1352,27677,388,9203,7257,2879,3836,1436,1335,698,645,26325,9151,10649,3834,1060,894,737,16000,3171,4302,4808,2124,1066,529,0,0,104800,Texas
24000,"El Paso city, Texas",2012,235023,219578,15445,235023,5924,40579,28494,34488,43314,30712,30137,10549,10826,219578,64336,81967,32604,16261,13975,10435,128104,6841,38347,43829,20199,11697,4922,1771,498,117600,Texas
26232,"Flower Mound town, Texas",2012,22565,21983,582,22565,319,5090,12045,3266,1312,397,0,61,75,21983,4849,11078,5145,560,351,0,18661,326,334,1007,2339,6985,5981,1596,93,277900,Texas
